,best_treshold,best_f1
action,0.3,0.6259201427615435
adventure,0.2,0.46934865900383144
animation,0.1,0.0
biography,0.2,0.2409638554216867
comedy,0.3,0.6581506196377502
crime,0.3,0.5637998875772906
drama,0.4,0.8137001332392819
family,0.1,0.14285714285714285
fantasy,0.2,0.27530364372469635
history,0.1,0.05333333333333334
horror,0.1,0.2814814814814815
music,0.1,0.16107382550335572
musical,0.1,0.11764705882352941
mystery,0.2,0.3313922710428798
romance,0.3,0.48528150900257216
sci-fi,0.4,0.5727119595732735
sport,0.1,0.2444444444444444
thriller,0.3,0.7501861108156972
war,0.2,0.2737642585551331
western,0.1,0.17283950617283952
